ANGLE | ANGLE_BIN |    SIN_FLOAT |  Q2.8_DEC |   Q2.8_BIN
---------------------------------------------------------
    0 | 000000000 |   0.00000000 |         0 | 0000000000
    1 | 000000001 |   0.01745241 |         4 | 0000000100
    2 | 000000010 |   0.03489950 |         9 | 0000001001
    3 | 000000011 |   0.05233596 |        13 | 0000001101
    4 | 000000100 |   0.06975647 |        18 | 0000010010
    5 | 000000101 |   0.08715574 |        22 | 0000010110
    6 | 000000110 |   0.10452846 |        27 | 0000011011
    7 | 000000111 |   0.12186934 |        31 | 0000011111
    8 | 000001000 |   0.13917310 |        36 | 0000100100
    9 | 000001001 |   0.15643447 |        40 | 0000101000
   10 | 000001010 |   0.17364818 |        44 | 0000101100
   11 | 000001011 |   0.19080900 |        49 | 0000110001
   12 | 000001100 |   0.20791169 |        53 | 0000110101
   13 | 000001101 |   0.22495105 |        58 | 0000111010
   14 | 000001110 |   0.24192190 |        62 | 0000111110
   15 | 000001111 |   0.25881905 |        66 | 0001000010
   16 | 000010000 |   0.27563736 |        71 | 0001000111
   17 | 000010001 |   0.29237170 |        75 | 0001001011
   18 | 000010010 |   0.30901699 |        79 | 0001001111
   19 | 000010011 |   0.32556815 |        83 | 0001010011
   20 | 000010100 |   0.34202014 |        88 | 0001011000
   21 | 000010101 |   0.35836795 |        92 | 0001011100
   22 | 000010110 |   0.37460659 |        96 | 0001100000
   23 | 000010111 |   0.39073113 |       100 | 0001100100
   24 | 000011000 |   0.40673664 |       104 | 0001101000
   25 | 000011001 |   0.42261826 |       108 | 0001101100
   26 | 000011010 |   0.43837115 |       112 | 0001110000
   27 | 000011011 |   0.45399050 |       116 | 0001110100
   28 | 000011100 |   0.46947156 |       120 | 0001111000
   29 | 000011101 |   0.48480962 |       124 | 0001111100
   30 | 000011110 |   0.50000000 |       128 | 0010000000
   31 | 000011111 |   0.51503807 |       132 | 0010000100
   32 | 000100000 |   0.52991926 |       136 | 0010001000
   33 | 000100001 |   0.54463904 |       139 | 0010001011
   34 | 000100010 |   0.55919290 |       143 | 0010001111
   35 | 000100011 |   0.57357644 |       147 | 0010010011
   36 | 000100100 |   0.58778525 |       150 | 0010010110
   37 | 000100101 |   0.60181502 |       154 | 0010011010
   38 | 000100110 |   0.61566148 |       158 | 0010011110
   39 | 000100111 |   0.62932039 |       161 | 0010100001
   40 | 000101000 |   0.64278761 |       165 | 0010100101
   41 | 000101001 |   0.65605903 |       168 | 0010101000
   42 | 000101010 |   0.66913061 |       171 | 0010101011
   43 | 000101011 |   0.68199836 |       175 | 0010101111
   44 | 000101100 |   0.69465837 |       178 | 0010110010
   45 | 000101101 |   0.70710678 |       181 | 0010110101
   46 | 000101110 |   0.71933980 |       184 | 0010111000
   47 | 000101111 |   0.73135370 |       187 | 0010111011
   48 | 000110000 |   0.74314483 |       190 | 0010111110
   49 | 000110001 |   0.75470958 |       193 | 0011000001
   50 | 000110010 |   0.76604444 |       196 | 0011000100
   51 | 000110011 |   0.77714596 |       199 | 0011000111
   52 | 000110100 |   0.78801075 |       202 | 0011001010
   53 | 000110101 |   0.79863551 |       204 | 0011001100
   54 | 000110110 |   0.80901699 |       207 | 0011001111
   55 | 000110111 |   0.81915204 |       210 | 0011010010
   56 | 000111000 |   0.82903757 |       212 | 0011010100
   57 | 000111001 |   0.83867057 |       215 | 0011010111
   58 | 000111010 |   0.84804810 |       217 | 0011011001
   59 | 000111011 |   0.85716730 |       219 | 0011011011
   60 | 000111100 |   0.86602540 |       222 | 0011011110
   61 | 000111101 |   0.87461971 |       224 | 0011100000
   62 | 000111110 |   0.88294759 |       226 | 0011100010
   63 | 000111111 |   0.89100652 |       228 | 0011100100
   64 | 001000000 |   0.89879405 |       230 | 0011100110
   65 | 001000001 |   0.90630779 |       232 | 0011101000
   66 | 001000010 |   0.91354546 |       234 | 0011101010
   67 | 001000011 |   0.92050485 |       236 | 0011101100
   68 | 001000100 |   0.92718385 |       237 | 0011101101
   69 | 001000101 |   0.93358043 |       239 | 0011101111
   70 | 001000110 |   0.93969262 |       241 | 0011110001
   71 | 001000111 |   0.94551858 |       242 | 0011110010
   72 | 001001000 |   0.95105652 |       243 | 0011110011
   73 | 001001001 |   0.95630476 |       245 | 0011110101
   74 | 001001010 |   0.96126170 |       246 | 0011110110
   75 | 001001011 |   0.96592583 |       247 | 0011110111
   76 | 001001100 |   0.97029573 |       248 | 0011111000
   77 | 001001101 |   0.97437006 |       249 | 0011111001
   78 | 001001110 |   0.97814760 |       250 | 0011111010
   79 | 001001111 |   0.98162718 |       251 | 0011111011
   80 | 001010000 |   0.98480775 |       252 | 0011111100
   81 | 001010001 |   0.98768834 |       253 | 0011111101
   82 | 001010010 |   0.99026807 |       254 | 0011111110
   83 | 001010011 |   0.99254615 |       254 | 0011111110
   84 | 001010100 |   0.99452190 |       255 | 0011111111
   85 | 001010101 |   0.99619470 |       255 | 0011111111
